Detergent,	7,	258,	Total1806 
 Coffee,	6,	332,	Total1992 
 Sugar,	6,	258,	Total1548 
 Flour,	8,	330,	Total2640 
 DishWasher,	5,	332,	Total1660 
 Airfreshner,	7,	332,	Total2324 
 Detergent,	8,	264,	Total2112 
 Sugar,	5,	330,	Total1650 
 Airfreshner,	3,	230,	Total690 
 Rice,	8,	204,	Total1632 
 Rice,	8,	258,	Total2064 
 Salt,	6,	230,	Total1380 
 Airfreshner,	6,	240,	Total1440 
 Flour,	6,	330,	Total1980 
 Salt,	6,	264,	Total1584 
 Coffee,	8,	230,	Total1840 
 Olive Oil,	6,	230,	Total1380 
 Sugar,	6,	230,	Total1380 
 Flour,	7,	240,	Total1680 
 Tea,	6,	635,	Total3810 
 Tea,	6,	635,	Total3810 
 Coffee,	8,	100,	Total800 
 Salt,	6,	240,	Total1440 
 Olive Oil,	6,	204,	Total1224 
 Airfreshner,	3,	330,	Total990 
 Detergent,	3,	230,	Total690 
 Airfreshner,	8,	100,	Total800 
 Salt,	6,	330,	Total1980 
 Tea,	8,	635,	Total5080 
 Airfreshner,	5,	264,	Total1320 
 Sugar,	8,	635,	Total5080 
 Rice,	8,	258,	Total2064 
 Rice,	3,	240,	Total720 
 Airfreshner,	6,	635,	Total3810 
 Detergent,	8,	332,	Total2656 
 Detergent,	5,	635,	Total3175 
 Flour,	6,	100,	Total600 
 Coffee,	8,	635,	Total5080 
 Detergent,	3,	635,	Total1905 
 Rice,	8,	258,	Total2064 
 Flour,	5,	230,	Total1150 
 Salt,	8,	264,	Total2112 
 Detergent,	6,	264,	Total1584 
 Airfreshner,	3,	332,	Total996 
 Flour,	8,	230,	Total1840 
 Olive Oil,	6,	230,	Total1380 
 Detergent,	3,	204,	Total612 
 Coffee,	8,	230,	Total1840 
 Rice,	6,	264,	Total1584 
 Rice,	5,	635,	Total3175 
 Airfreshner,	5,	264,	Total1320 
 Airfreshner,	8,	635,	Total5080 
 Coffee,	5,	264,	Total1320 
 DishWasher,	5,	264,	Total1320 
 Coffee,	8,	230,	Total1840 
 Detergent,	5,	240,	Total1200 
 Sugar,	6,	332,	Total1992 
 Coffee,	3,	264,	Total792 
 Rice,	6,	230,	Total1380 
 Coffee,	5,	258,	Total1290 
 Olive Oil,	6,	230,	Total1380 
 Salt,	8,	330,	Total2640 
 Rice,	8,	258,	Total2064 
 DishWasher,	3,	100,	Total300 
 Olive Oil,	6,	635,	Total3810 
 Sugar,	5,	100,	Total500 
 Coffee,	7,	635,	Total4445 
 Tea,	6,	204,	Total1224 
 Sugar,	8,	264,	Total2112 
 Salt,	7,	100,	Total700 
 Flour,	3,	332,	Total996 
 DishWasher,	7,	100,	Total700 
 Coffee,	5,	332,	Total1660 
 Airfreshner,	7,	330,	Total2310 
 Tea,	7,	100,	Total700 
 Flour,	8,	204,	Total1632 
 Airfreshner,	5,	100,	Total500 
 DishWasher,	3,	635,	Total1905 
 Airfreshner,	7,	264,	Total1848 
 DishWasher,	8,	230,	Total1840 
 Airfreshner,	7,	332,	Total2324 
 Rice,	5,	230,	Total1150 
 Coffee,	3,	258,	Total774 
 Tea,	3,	240,	Total720 
 Airfreshner,	5,	100,	Total500 
 Salt,	7,	264,	Total1848 
 Salt,	7,	330,	Total2310 
 Salt,	5,	204,	Total1020 
 Rice,	3,	230,	Total690 
 Tea,	5,	635,	Total3175 
 Detergent,	6,	330,	Total1980 
 Airfreshner,	3,	264,	Total792 
 Olive Oil,	3,	100,	Total300 
 Tea,	8,	635,	Total5080 
 Detergent,	8,	332,	Total2656 
 Salt,	5,	100,	Total500 
 Salt,	8,	230,	Total1840 
 Olive Oil,	6,	240,	Total1440 
 Airfreshner,	7,	204,	Total1428 
 Sugar,	8,	330,	Total2640 
 